Company Name,Logo,Jobs Page URL,Company Reviews,Function,Country,State,City,WorkEnvironment,EngineeringPositions,Status
GitLab,gitlab_com_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/2PxUftSGG_ox-8_jMa9_SA/Av40FPdTXmA6mvs7jU78WRbZKUmYwAUZQHKbz37f-qv2P2Nsr03pRuLHLAXQ7N2heL2kvXkjyacwhV-emuy2w7J08BCBEUrl92MF824iqlReEROJjPS_lKZaB949wVy0KsOk-Yn6_yR9PtY8r3Wacg/ZALYn6DVCvGTv8gWYY9rYw19Ci6Vvb3osWHAsLuS0DU),https://about.gitlab.com/jobs/all-jobs/,"https://www.glassdoor.com/Overview/Working-at-GitLab-EI_IE1296544.11,17.htm","Sales,Marketing,Product,Design,HR,Engineering",United States,California,San Francisco,Remote,checked,Active
Golden Hippo,golden_hippo_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/JUR4HtTmh-IuwqW0NHd1mg/f_vJXgbXG0uqD13BEHcn6nDa97K5WWEIhgO5gRXUgPQr4amwvwiM3I-6HaRA3VkyPjPPc5EBhC5lnPVrv-1pY_nj_PcvC4tB-yFG7mrWHr5vEbb6HJECTgJji1KWdMEKG_YxC42BZ_QkM275bnygkewvaaixH0LW5o58LD2P_-Y/efrzoxSvD_N692WPJXichSpHijuX7LFblrz-d1zYmT0),https://grnh.se/8da0cffa5us,"https://www.glassdoor.com/Overview/Working-at-Golden-Hippo-EI_IE782445.11,23.htm","Finance,Marketing,Engineering,Design,Internship",United States,California,Woodland Hills,"Remote,Hybrid",checked,Active
Grammarly,grammarly_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/tCiKJBNIbzBwg3nPRnsGeQ/JZPj5HgSBhFp7eMJ8E1lJbdj9mmDolga9LgTtAHiW4hkyeUVUBRPJL7keZZ8P7xEzoi0293w0FUBiyh4SLpJxwO4y9WDCrO8LJgQ5eb3u3egLhtXDZJSuwbq6yU8G13BwQPCCr0Qf8ukTpNk-hspCQ/XI9Ui4-Axn2_G8BK0_-VHm1Cxs7pRz3NgN5SqqPHDzg),https://www.grammarly.com/jobs/openings,"https://www.glassdoor.com/Overview/Working-at-Grammarly-EI_IE636873.11,20.htm","Support,Engineering,Marketing,Data,Product,Design,Sales",United States,California,San Francisco,Hybrid,checked,Active
GridX,gridx_inc_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/3Kg3eVQIdO-c0eg977NDfg/NhxTGr4YNmN07EkbZR7KZOU0JA7JLndNonIJaLDXNsKZSou1KdlRYTQ9onjev-SjmwOhfGOEMlUQLHX4egp2F_q2Ufa2Jib94mqAVTNGtX-JMRjScG5QpgOw5SCiUjivMJo30jttYh_sXbQYT4Jfow/60xgiykOYvirdGO1GXr_fm9PF6KX2bZft1iAhbXrVXM),https://gridx.com/careers/,"https://www.glassdoor.com/Overview/Working-at-GridX-EI_IE3017709.11,16.htm","Sales,Product,Customer Success,Data,Engineering",United States,California,Milpitas,"Remote,Hybrid",checked,Active
Harness,harnessinc_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/1hOhapNyFcelhtX80-oqoA/HYRZdVxGYyGVQ0M6rAEON3N-4po9HIPuZSpIwRg_2zsl-0WRQav7WtrT5oAHwoXdKgYC3Y6iHIc_3gEtuQz9AB3sl4SftoQ-1BpTDZiN_EANaCsgBKrBCM0U437FPMUFj3gLglMTaTuJ0tot66BLMQ/3sATWa74YSd06B5Hkc_ehQbEAqQUeJ29jIDEjO1OG-A),https://www.harness.io/,"https://www.glassdoor.com/Overview/Working-at-Harness-EI_IE1828521.11,18.htm","Finance,Marketing,Engineering,Sales,Customer Success",United States,California,San Francisco,On-Site,checked,Active
Hashi Corp,hashicorp.png (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/CvjznBCU2jYeGRUlt8uEqQ/sV1a6CxzbNy1yunoDSM6CBOtT73jhgpUVB9dN8ScUmMFQtrkUy2mGy_voCQNg7Rw29iN4QomABryizrn9k36TyJtoe55zj_Tt7hMqGrW5eYMyUHa4F8elsv_Kt7o54yxzwSR8t8Tt1IJ0omJHRZZeg/0EK3f4TtA_uJDCb1N9v6B7yEWhF4OoRTCpbCUVoKWoM),https://www.hashicorp.com/careers/open-positions,"https://www.glassdoor.com/Overview/Working-at-HashiCorp-EI_IE1359860.11,20.htm","Finance,Sales,Marketing,Engineering,Product,Customer Success,Support,HR,Design",United States,California,San Francisco,"On-Site,Remote,Hybrid",checked,Active
HID,hidglobal_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/ksSlrq4oQsed3vHPjuHDNw/GQ8YAEOfwOlKkquCvRqWsjJWmzNxvFotxM39gcRDr1BF1vJLyHKOSUeBf2zWobcml6C53SDmtHT-5iNxIjsYEgLc7SDV-0mBJ9Vp3XyncM_qOFlC-WerGeve0nrSkX8JCleUOJOx_c4FHIJQYVbMTw/XYeZTLKUDxblI8qTEBQ5obVoMd4JmNRa5BITKoFAEEg),https://www.hidglobal.com/careers,"https://www.glassdoor.com/Overview/Working-at-HID-EI_IE15091.11,14.htm",Engineering,United States,Texas,Austin,Hybrid,checked,Active
Infor,infor_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/1W8xd2cw6bgPSvVIU8ExAQ/ZM7NUz5F1xLxyyvJtQpusqBt2OE4oUAZBQKplFOxShJJ3olYpQn2YcrdWHVugdhKo5cVzRtFzmcqBFLuHe7wcBmNmILboj8hzhx9cwYQJgssEu-8GVmmTxZ0V9AFblAr0DbXOwN8ijmgFLSWYbjDEQ/g_2021NT3sWP_c4sGBD_OUl-dy2JtqHJGQogI6MS7-E),https://careers.infor.com/en_US/careers/SearchJobs,"https://www.glassdoor.com/Overview/Working-at-Infor-EI_IE15375.11,16.htm","Finance,Sales,Engineering,Product,Support,Internship",United States,New York,New York City,"Hybrid,Remote,On-Site",checked,Active
Insight Global,insightglobal.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/X_4afxspJ1dwCpdMsyRGTA/PIlIw6-OxXd6gsQHfqheU3MGq2G7V3SH0-iGEJByYvR4g9_5DCgHnqIy0YR1luQSOYWiYGuUwdEj_oyAIXKFGoTX-dYunWL2f6llH0HqJNfIaVA16ubeCgoFwNUBltxu8ltA7tvJIKLyJQ7dBOTkgA/6rlP1HwN_d_tQBZHvy913-cluEJJBwQKM2hZuI9qUJE),https://insightglobal.com/jobs/,"https://www.glassdoor.com/Overview/Working-at-Insight-Global-EI_IE152783.11,25.htm","Finance,Sales,Marketing,Engineering,Product,Customer Success,Support,HR,Design,Data",United States,Georgia,Atlanta,"On-Site,Remote,Hybrid",checked,Active
Interactive Network Technologies,int_logo.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763193600000/dNA9LoUEIEyAhgrL_tAoyA/Ut2WR6ZEAt4_jkTI40KSnxAgLIAsySMcLGEUAb86xtYg8Svgyk2x_O6Prs80xG1QABG7Ieq6WA6ENWXMwKpbMxk9wEPhtxPkmhBu_eXQyLkZhPs1tHFWBmbrKc30HGGtPwfJnGLubNnS-wM1tl5_Mg/pDPtAn7_PMcP2QhPuPK4owcf1q7Rwk4mEvu1Mvtf7y0),https://www.int.com/careers,"https://www.glassdoor.com/Overview/Working-at-Interactive-Network-Technologies-EI_IE229159.11,43.htm",Engineering,Unitted States,Texas,Houston,Hybrid,checked,Active
